GRIN Accession	Protein	GRIN Link
FC1547	42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1014599	
FC19976-1	43.2;46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485742	
FC19976-2	43.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485741	
FC19976	46.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1083872	
FC19979-1	43	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485747	
FC19979-2	43.1;44.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485748	
FC19979-3	41.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485746	
FC19979-4	43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485743	
FC19979-5	41.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485744	
FC19979-6	42	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485745	
FC19979-7	43	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485749	
FC2108	42.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1018274	
FC2109	41.9;44.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1018286	
FC21340	40.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1086312	
FC29219	43.8;43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1097681	
FC29333	40.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1097822	
FC30233	41.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1099350	
FC30265	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1099461	
FC30267	45.2;47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1099469	
FC30282	43.3;44.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1099507	
FC30683	45.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1100483	
FC30684	47.3;50.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1100488	
FC30685	45.9;45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1100493	
FC30687	51.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1100502	
FC30689	42.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1100509	
FC30691	47.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1100516	
FC30692	45.6;47.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1100520	
FC30694	43.0;45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1100530	
FC30967	44.8;46.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1101281	
FC31122	44.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1101506	
FC31408	41.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1101931	
FC31409	41.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1101932	
FC31416	43.1;45.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1101948	
FC31557	42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102215	
FC31571	42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102242	
FC31572-3	41.4;45.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1485750	
FC31572	44.2;45.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102243	
FC31579	42.8;42.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102255	
FC31592	44.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102273	
FC31622	45.8;47.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102319	
FC31630	41.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102336	
FC31649	45.3;46.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102378	
FC31665	43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102409	
FC31676	45.9;47.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102427	
FC31677	41.6;42.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102428	
FC31678	40.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102433	
FC31683	41.4;45.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102441	
FC31684	40.2;41.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102442	
FC31685	40.1	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102446	
FC31689	42.6;43.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102451	
FC31697	40.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102461	
FC31700	43.3	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102465	
FC31702	40	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102470	
FC31707	41.3;42.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102477	
FC31709	47.6	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102481	
FC31715	40.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102489	
FC31719	44.1;47.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102497	
FC31721	46.5	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102500	
FC31731	46.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102518	
FC31732	41.8;42.8	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102519	
FC31737	45.7	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102528	
FC31744	46.0;46.4	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102536	
FC31745	41.7;45.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102538	
FC31750	43.5;46.2	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102545	
FC31918	46.2;47.0	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102649	
FC31919	43.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102650	
FC31921	45.3;46.9	https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1102651	
