Yen_Soy1066_format	Nick_Soy775_AccuTool_format	GRIN_Soybase_format	Name	Note	
HN005	HN005_PI404166	PI404166	Krasnoarmejskaja		
HN006	HN006_PI407788A	PI407788A	ORD 8113		
HN007	HN007_PI424298	PI424298	KAS 300-10		
HN008	HN008_PI437655	PI437655	Er-huan-jan		
HN009	HN009_PI495017C	PI495017C	(Beijing da qing don)		
HN010	HN010_PI468915	PI468915			
HN011	HN011_PI507354	PI507354	Tokei 421		
HN012	HN012_PI567305	PI567305	Hei dou zi		
HN013	HN013_S05-11482	S05-11482			
HN014	HN014_PI548667	PI548667	Essex		
HN016	HN016_PI567387	PI567387	Huang huai dou		
HN018	HN018_PI437690	PI437690	Pin-din-guan		
HN022	HN022_PI404198B	PI404198B	(Sun huan do)		
HN023	HN023_PI424608A	PI424608A	KAS 681-21		
HN025	HN025_PI567516C	PI567516C	(Ba yue zha)		
HN026	HN026_PI612611	PI612611	Browngilgun		
HN027	HN027_S10-11227	S10-11227			
HN028	HN028_Holladay	PI572239	Holladay		
HN030	HN030_Maverick	PI598124	Maverick		
HN031	HN031_PI079691_4	PI79691-4			
HN032	HN032_PI086006	PI86006	Kiio Shokuzu		
HN033	HN033_PI087617	PI87617	Miyongaikon		
HN034	HN034_PI087631_1	PI87631-1	Kindaizu		
HN035	HN035_PI196175	PI196175	Yu tae		
HN036	HN036_PI200471	PI200471			
HN037	HN037_PI200508	PI200508	Natsu Daizu		
HN038	HN038_PI248515	PI248515	White Hilum Iwata Variety No. 2		
HN039	HN039_PI366121	PI366121			
HN040	HN040_PI378702	PI378702			
HN041	HN041_PI398593	PI398593	KAS 390-4		
HN042	HN042_PI398595	PI398595	KAS 390-5		
HN043	HN043_PI398610	PI398610	KAS 390-8		
HN044	HN044_PI398614	PI398614	KAS 390-9		
HN045	HN045_PI407162	PI407162	K1-D		
HN046	HN046_PI407184	PI407184	K29		
HN047	HN047_PI407729	PI407729			
HN048	HN048_PI407965	PI407965	KAERI 504-4		
HN049	HN049_PI408105A	PI408105A	KAS 633-19		
HN050	HN050_PI416937	PI416937	Houjaku Kuwazu		
HN052	HN052_PI424079	PI424079	74079		
HN053	HN053_PI424088	PI424088	74088		
HN054	HN054_PI437169B	PI437169B	(VNIISC-4)		
HN056	HN056_PI437863A	PI437863A	DV-2841		
HN057	HN057_PI438258	PI438258	VIR 4714		
HN058	HN058_PI458515	PI458515	Tie Zhugan		
HN059	HN059_PI464920B	PI464920B	(Jin Dou 33)		
HN060	HN060_PI467312	PI467312	Cha-mo-shi-dou		
HN061	HN061_PI471938	PI471938	197		
HN062	HN062_PI475783B	PI475783B	(Tsing 2)		
HN063	HN063_PI483463	PI483463			
HN064	HN064_PI518751	PI518751	NS-20		
HN065	HN065_PI542044	PI542044	Kunitz		
HN066	HN066_PI547862	PI547862	L83-570		
HN067	HN067_PI548317	PI548317	Columbia		
HN068	HN068_PI548349	PI548349	Ilsoy		
HN069	HN069_PI548415	PI548415	Sooty		
HN070	HN070_PI548511	PI548511	Beeson 80		
HN071	HN071_PI548657	PI548657	Jackson		
HN072	HN072_PI549031	PI549031			
